TIC_ID,START_DATE,END_DATE,NUM_OBS
TIC_229945262,2669.820761150813,2678.401381270358,6038
TIC_229945262,2683.741693494413,2691.5084400646483,5580
TIC_231294802,1385.9510587186726,1406.2163250503713,12897
TIC_231294802,1410.9051631639425,1436.5157329559972,14802
TIC_231294802,2088.241905815165,2141.9256571618525,32002
TIC_232965288,2419.987302639431,2446.576048864288,17968
TIC_232965288,2580.5067880471674,2635.9878810921923,32723
TIC_233494936,1683.3526287983307,1737.4087575171047,35939
TIC_233494936,1790.6570863269214,1926.4931987067832,82617
TIC_233494936,1955.7953295738487,2035.1330357479815,52037
TIC_233494936,2390.6523643284813,2446.5775472130144,37745
TIC_233494936,2580.547807110497,2621.628190526665,24858
TIC_233494936,2625.975350079896,2635.986320447337,7164
TIC_233494936,2640.420960130838,2650.44439273868,7168
TIC_233494936,2655.3040104976762,2664.3149400539864,6459
TIC_233514176,1870.4331491727912,1897.77942425656,18272
TIC_233514176,1985.9354857526196,2035.1357367364533,30648
TIC_233514176,2390.6550501505285,2446.5794105881023,37727
TIC_233514176,2610.3982266195194,2635.984824327309,15560
TIC_239134011,1842.5092264240961,1868.827391205128,16088
TIC_239134011,2501.019004794824,2563.9266399282033,33678
TIC_239134011,2569.0101635736,2606.944917570063,22319
TIC_240454319,1711.3679133470453,1720.131975918644,6217
TIC_240454319,1724.9445634218719,1737.4127057319654,6712
TIC_241467204,1601.3487421433265,1609.6988063251574,5945
TIC_241467204,1615.8918306270489,1623.8959075626742,5722
TIC_241467204,2333.859583987869,2360.555199284863,18429
TIC_241661288,1601.3487302051205,1609.6988145952546,5939
TIC_241661288,1615.8918534257782,1623.8959491783105,5727
TIC_241661288,2333.859577116106,2360.555254668754,18443
TIC_241683370,1601.3487924118806,1609.6988725654282,5941
TIC_241683370,1615.891907228749,1623.895997075299,5731
TIC_243153498,1764.690037867624,1772.622006987915,5561
TIC_243153498,1777.735867340433,1788.0050964511445,7268
TIC_243153498,2447.6944288184823,2455.4602659395387,5459
TIC_243153498,2461.243978541509,2482.113007895777,12972
TIC_243153498,2487.1867619670365,2498.2758069336483,7895
TIC_243400994,1683.3576441853138,1720.480164479394,20874
TIC_243400994,1724.9453866529159,1734.178484883963,6522
TIC_243400994,2419.9935833918757,2446.58266998766,18243
TIC_24401034,1438.1137994684327,1463.6946069896505,16678
TIC_24401034,1468.2751512331452,1490.047000749892,14412
TIC_24401034,2174.231644346718,2200.1206391950777,17209
TIC_244161191,1385.9542208993234,1406.2191388898373,12905
TIC_244161191,2115.8913742987406,2141.900536123157,15907
TIC_24452802,1438.1097032161176,1463.7002763163555,17016
TIC_24452802,1468.2752708626938,1490.0471355807208,14403
TIC_24452802,2174.231726084709,2227.5743800298237,34650
TIC_245066871,1601.3487860724151,1609.6987692007772,5940
TIC_245066871,1615.8917352358687,1623.8957367981611,5736
TIC_245066871,2308.188350125304,2360.554974343919,34179
TIC_245271960,1601.348815389984,1609.6988087074808,5944
TIC_245271960,1615.8917814178271,1623.8957913117306,5716
TIC_245271960,2308.167514750491,2360.5550345241213,34207
TIC_245339150,1601.348725548555,1609.6987331408984,5926
TIC_245339150,1615.8917176562238,1623.8957435190507,5727
TIC_245339150,2308.0979473768275,2360.554998962034,34309
TIC_245821503,1437.9886528383195,1463.716486732862,17233
TIC_245821503,2174.2342707805656,2200.231279419794,17171
TIC_245821503,2474.1690077873677,2524.444802558427,31716
TIC_245865895,1437.9886285219532,1463.7206805663889,17243
TIC_245865895,2174.2342583911814,2200.2313188869166,17168
TIC_245865895,2474.168898474196,2524.444761140184,31526
TIC_245936201,1438.067763910771,1463.7179128084347,17098
TIC_245936201,2174.234234372372,2200.2313396437685,17130
TIC_245936201,2474.2521428711398,2524.444713304197,31294
TIC_246861224,1354.1128989625595,1381.5188660950287,17997
TIC_247439284,1468.2777323469259,1490.0495926444305,14557
TIC_247439284,2474.175605367441,2550.629797475618,48199
TIC_250081915,2447.6963592683114,2453.5965550830624,4180
TIC_250081915,2461.2453549186675,2470.8329321441847,6672
TIC_25171265,1955.7918123097807,1982.2769843237588,17178
