GDR2_1353527267952403456,TIC_405542161
GDR2_1353553862389815296,TIC_405540890
GDR2_1353783351082480512,TIC_82601086
GDR2_1354229821522602240,TIC_405541593
GDR2_1354678594065229568,TIC_82406677
GDR2_135492066273035264,TIC_85401420
GDR2_1355563868429272960,TIC_274977380
GDR2_135634934065316480,TIC_269911671
GDR2_1356496945779301760,TIC_115351929
GDR2_135857752673225088,TIC_126095867
GDR2_135861845777878400,TIC_85595800
GDR2_135901977952222592,TIC_85435739
GDR2_1362451076122157696,TIC_164319891
GDR2_136506503188704256,TIC_269828848
GDR2_136507396541905024,TIC_269892845
GDR2_13666658950925952,TIC_365440104
GDR2_136977055509286912,TIC_126028051
GDR2_13718267277934336,TIC_365457858
GDR2_1374555015516644992,TIC_16915827
GDR2_1374695306328813568,TIC_321539983
GDR2_1374695306328813696,TIC_321539985
GDR2_1374748667001901824,TIC_16320005
GDR2_1374763991445185664,TIC_16330889
GDR2_1377324994544567168,TIC_148835036
GDR2_1377355505992277376,TIC_148816315
GDR2_1377590045566306304,TIC_29261186
GDR2_137765753240018816,TIC_85485058
GDR2_1377675876192867968,TIC_287055427
GDR2_1378089189485459712,TIC_321588256
GDR2_1379435507113833088,TIC_24105600
GDR2_1379849129644160128,TIC_24158257
GDR2_1380919607293011584,TIC_39947630
GDR2_1381287153414616192,TIC_39836149
GDR2_138161371267825152,TIC_101352347
GDR2_1381868348388880768,TIC_219483564
GDR2_1382332033058392064,TIC_219501106
GDR2_1383141857731616768,TIC_29396342
GDR2_1384168664153470464,TIC_157364014
GDR2_1385059371651338752,TIC_219491794
GDR2_1385788343564411264,TIC_219493002
GDR2_1385978666451134208,TIC_229667767
GDR2_1386109473975376896,TIC_219471823
GDR2_138666459421872640,TIC_85590904
GDR2_1387517467334192128,TIC_138293660
GDR2_139526002637394048,TIC_177824906
GDR2_1398092260932422528,TIC_156066128
GDR2_1398255126092049536,TIC_156080455
GDR2_1398278696872641152,TIC_157365226
GDR2_1398789351303890304,TIC_417545164
GDR2_1399425002168375936,TIC_162495778
GDR2_1400303584974012928,TIC_162496452
GDR2_1401174776140330368,TIC_116541950
GDR2_1401456251117376128,TIC_159856115
GDR2_1402588541935035264,TIC_159833621
GDR2_1403467979438657024,TIC_159938752
GDR2_1403613080614076928,TIC_162492287
GDR2_1404623119483132416,TIC_310171100
GDR2_1404745268352765312,TIC_159970337
GDR2_1404823127519903872,TIC_159941122
GDR2_140622147010227968,TIC_67709672
GDR2_1406235720787428864,TIC_115322255
GDR2_1406732910497729792,TIC_115119117
GDR2_140684922252215552,TIC_67657567
GDR2_1406899349070912256,TIC_115183160
GDR2_1407090767173400448,TIC_115289504
GDR2_1407392239517215104,TIC_115422789
GDR2_1407718450873494784,TIC_230225513
GDR2_1408048751038565248,TIC_115622471
GDR2_1408471959936017920,TIC_274676670
GDR2_1408676808399961856,TIC_115507208
GDR2_1408972100287719680,TIC_230228030
GDR2_1409022987060323712,TIC_274454586
GDR2_1409737119862530944,TIC_219503413
GDR2_1409942762896619392,TIC_193556186
GDR2_1410256707825712640,TIC_115180439
GDR2_141071568091782144,TIC_77225902
GDR2_1410888098082408192,TIC_193555814
GDR2_1412138590696694016,TIC_274457537
GDR2_1412852689139396736,TIC_274487004
GDR2_1413258026676234112,TIC_274370473
GDR2_1413428760217260544,TIC_274311655
GDR2_1413452919408223104,TIC_274311533
GDR2_1414082492894750720,TIC_274486403
GDR2_1415187364641851264,TIC_188768435
GDR2_1415697572396625152,TIC_367811885
GDR2_1416028559756276608,TIC_188819915
GDR2_1417114701149678336,TIC_232624805
GDR2_1417368795711365248,TIC_232619431
GDR2_1417629276887458176,TIC_320498973
GDR2_1418455727379732992,TIC_165552298
GDR2_1418540531508804608,TIC_237116917
GDR2_1418814172465031040,TIC_188624858
GDR2_1419932410150381824,TIC_198381298
GDR2_1421329511472711808,TIC_320501074
GDR2_1421992516983893120,TIC_357596439
GDR2_1422073262368767872,TIC_422990441
GDR2_1425205152520865408,TIC_162617993
GDR2_1430041281400236416,TIC_199612052
GDR2_1430323757105322880,TIC_199608657
GDR2_1430663330104749440,TIC_334798476
GDR2_1430671889974551808,TIC_199665320
GDR2_1431470375934522112,TIC_207504450
GDR2_1431657636508961536,TIC_199611396
GDR2_1431695432221154944,TIC_199632584
GDR2_1432533569319248768,TIC_224603591
GDR2_1432690524604201088,TIC_198364436
GDR2_143280456888949376,TIC_67658787
GDR2_1433692110977143296,TIC_224601538
GDR2_1433920220984944896,TIC_198390619
GDR2_1434366420842785664,TIC_284888583
GDR2_1434801140252389760,TIC_229682810
GDR2_1435036744978420864,TIC_165502066
GDR2_1435286471556821120,TIC_219811885
GDR2_1435383434738734336,TIC_219820508
GDR2_1436407148783279872,TIC_219807955
GDR2_1436470027104632576,TIC_219803786
GDR2_1437222539734816896,TIC_198387161
GDR2_144166731980784256,TIC_397286414
GDR2_144233733470448000,TIC_456942738
GDR2_144270017354905472,TIC_61228018
GDR2_1442769335378301312,TIC_149581472
GDR2_144291595270579456,TIC_61261183
GDR2_144292110666646784,TIC_61261210
GDR2_144293450696439040,TIC_118448638
GDR2_144329975098261504,TIC_353730181
GDR2_144337328082234112,TIC_397286216
GDR2_1443625202101552384,TIC_383455578
GDR2_1443993362402202496,TIC_459949393
GDR2_1444430147692257408,TIC_359208223
GDR2_144446798207983104,TIC_17555316
GDR2_1444522300510441984,TIC_357356862
