tic_id,clean_counts,no_flare_counts,raw_counts,ls_period,ls_power,fap_95
TIC 113951967,82599,82636,43394,3.264,0.04041878020175367,0.0
TIC 97882429,98972,99038,52172,0.767,0.2714480007221549,0.0
TIC 138473191,16983,16993,17043,4.965,0.004799371365500358,5.242166018068272e-184
TIC 219290316,50689,50695,33782,0.516,0.8831240169737548,0.0
TIC 401299019,92184,92184,46027,0.154,0.6074839323132192,0.0
TIC 118833673,12885,12896,12979,7.513,0.11136157354915056,1.6956150865519433e-138
TIC 32545814,164849,164927,66879,0.646,0.43367216745535564,0.0
TIC 366011855,11682,11686,11699,0.533,0.0687399771556893,4.5397333043203585e-125
TIC 454757744,145707,145759,63875,1.929,0.07034749646552074,0.0
TIC 255236579,12808,12809,12846,0.302,0.13650242549530342,1.574960922687334e-137
TIC 17417151,46605,46679,31409,1.646,0.3799892456874886,0.0
TIC 143995063,45608,45611,29373,6.493,0.007768745271740108,0.0
TIC 68565222,14215,14219,14346,5.057,0.0476401839437245,3.5139047212988255e-153
TIC 370705545,42420,42451,27113,1.101,0.2925313785572852,8.955660543387875e-296
TIC 62632828,96672,96682,48376,0.971,0.005006135648121287,0.0
TIC 309028466,15417,15423,15573,5.22,0.010057099304522789,1.48193529789811e-166
TIC 71374255,14638,14638,14680,0.418,0.4751489437438516,7.864575956362753e-158
TIC 436722903,47307,47320,31788,1.414,0.08096896598596423,0.0
TIC 103101099,50238,50255,33831,0.168,0.30935487608840084,0.0
TIC 233494936,2054448,2055269,255337,5.77,0.001121662726359577,0.0
TIC 219258986,222854,223003,78167,1.556,0.39816386103227774,0.0
TIC 151610256,14304,14315,14348,0.961,0.23891032838550438,3.0260767296751496e-154
TIC 279640409,14356,14366,14582,0.488,0.6693127653605582,7.72018644442471e-155
TIC 72564426,44735,44904,30627,1.825,0.6970028992707733,0.0
TIC 284865356,95218,95522,48648,2.215,0.8328936976652086,0.0
TIC 73308879,83317,83333,42319,3.439,0.043772855212260514,0.0
TIC 345135733,31853,32695,31051,4.957,0.7120965673258296,8.866913358461248e-234
TIC 311091687,16219,16221,16249,0.298,0.1274877600939881,2.084577899212518e-175
TIC 452591471,302899,304077,93309,1.412,0.6227985642889711,0.0
TIC 454544943,137435,137567,60743,1.096,0.0680840506272745,0.0
TIC 162143408,88952,88970,44868,0.627,0.9685961535227344,0.0
TIC 396731889,539739,542129,128247,1.559,0.5809433017011096,0.0
TIC 359766629,144759,144873,63879,2.918,0.4804774448364331,0.0
TIC 112472211,50400,50414,33588,0.48,0.33302623356871625,0.0
TIC 35001854,49390,49643,44429,5.956,0.4346887993052745,0.0
TIC 241467204,41763,41774,30190,1.349,0.08723491364159429,0.0
TIC 184899004,94348,94368,47975,7.375,0.000900758029401395,0.0
TIC 302769205,45656,45705,31085,0.768,0.5773724373606032,0.0
TIC 241661288,41775,41814,30192,1.92,0.48916961203103115,0.0
TIC 416836609,87721,87940,45392,4.822,0.7456735145269153,0.0
TIC 367844330,16684,16685,16728,0.243,0.000998517344124066,1.4226546285733778e-180
TIC 152479307,86935,88144,45361,3.23,0.9317261869859037,0.0
TIC 201858667,132454,132729,63391,3.672,0.5083666475839128,0.0
TIC 61530691,11621,11624,11700,0.402,0.09057146140303171,2.2102882052515047e-124
TIC 406173242,46136,46140,29203,0.23,0.14634172436456058,0.0
TIC 409372963,13220,13220,13337,0.143,0.42904296461395003,4.306288294395239e-142
TIC 240454319,12929,12936,12968,6.617,0.045356169270335096,5.526800960999012e-139
TIC 429152610,24349,25022,31507,4.605,0.8757590583193773,1.3447620008383013e-176
TIC 53205995,48324,48353,32574,5.503,0.22965781071818844,0.0
TIC 200668936,94178,94234,46070,2.01,0.2850491911916655,0.0
TIC 369743688,11633,11639,11700,2.277,0.2853776076524931,1.5056424295697062e-124
TIC 395052612,152082,152082,65573,0.296,0.29088288592104083,0.0
TIC 58172624,46742,46789,31653,2.117,0.020802048395832037,0.0
TIC 260778617,84260,84449,42640,1.079,0.687308690828117,0.0
TIC 297855749,47828,47886,33684,1.131,0.47909914702704187,0.0
TIC 460844584,41299,41360,29931,0.798,0.4757510440958117,0.0
TIC 405508600,84835,84912,46131,3.97,0.3023806957844284,0.0
TIC 440685559,41481,41502,28642,1.398,0.16627377637192836,1.06733474391e-312
TIC 387720293,48555,48572,32464,0.876,0.0512587898736601,0.0
TIC 281573523,92742,92856,45879,9.629,0.244130809727245,0.0
TIC 422692632,53599,53933,42552,5.969,0.7746251861864343,2.15004750455259e-296
TIC 375565862,44642,44650,29703,1.167,0.08625967371197349,0.0
TIC 99135067,48783,48903,33140,2.853,0.17722319738300782,0.0
TIC 17251144,40921,40951,27150,2.237,0.18173516047561258,1.543604848258884e-295
TIC 47596872,14527,14536,14562,0.208,0.4120437489643967,1.0071547645255708e-156
TIC 49954689,17172,17173,17185,0.681,0.8137099039094088,5.489300828986721e-186
TIC 44743153,94359,94360,48190,0.412,0.5969761080687378,0.0
TIC 52583022,97004,97004,48452,0.338,0.2398917691157053,0.0
TIC 360130454,221457,221592,74404,0.575,0.8094829038257256,0.0
TIC 464779449,50840,50972,34240,1.055,0.722383387496451,0.0
TIC 266271836,46936,47104,33682,1.886,0.35245154386621336,0.0
TIC 302904748,94225,94633,48456,5.502,0.9230188942458755,0.0
TIC 404378135,17125,17143,17224,3.211,0.346695711851299,1.171416627251822e-185
TIC 136885277,12520,12525,12637,6.867,0.03948857211220785,2.0871569148554972e-134
TIC 388814426,138849,138888,55838,0.431,0.36348035105328513,0.0
TIC 369743686,41703,41727,30193,2.056,0.266314268466406,0.0
TIC 431124765,13571,13585,13739,7.322,0.1782926925930629,3.7738781343192568e-146
TIC 430592416,85069,85085,43018,0.173,0.0920799214521389,0.0
TIC 209291266,41706,41792,30188,1.071,0.7125334544514291,0.0
TIC 24401034,96067,96492,49291,0.976,0.607483060104067,0.0
TIC 251878167,18257,18259,18298,3.414,0.016532129562108182,4.8149740896994704e-198
TIC 321805583,41789,41801,30195,1.666,0.021095550269044906,0.0
TIC 340221485,82008,82072,44540,1.623,0.02253275410942049,0.0
TIC 77954300,95487,95800,49316,2.708,0.22573052993482762,0.0
TIC 245271960,84998,85068,46065,1.227,0.22390303122865626,0.0
TIC 121049033,45807,45828,31272,0.556,0.6276490714770887,0.0
TIC 405040121,37470,37682,26033,0.828,0.8928269234909162,4.641473753278701e-284
TIC 372515585,213975,214228,75516,1.608,0.2486665630008462,0.0
TIC 5714469,13376,13377,13476,0.432,0.3225982291971932,7.783848405508777e-144
TIC 363782768,17070,17110,17210,1.636,0.520446155439999,2.7202072490994275e-185
TIC 190885165,36808,36816,25568,3.323,0.314137084611226,4.400802366053335e-278
TIC 84900299,16769,16769,16820,4.413,0.004719668979218884,1.6607153657034302e-181
TIC 384950919,224263,225443,76796,5.984,0.47902227060684827,0.0
TIC 167664935,18209,18213,18229,0.586,0.9185245456361175,1.5505555759385938e-197
TIC 93242288,94608,94752,49356,0.82,0.3387162584762609,0.0
TIC 339308290,58480,58852,44535,7.998,0.48329529910132274,3.2786198041723698e-307
TIC 264599508,244897,244938,81295,0.375,0.18434173476368967,0.0
TIC 287354092,1326033,1328761,200924,1.89,0.3365454971006632,0.0
TIC 337147104,37392,37400,26048,15.0,0.09889767855447655,2.3854018462214072e-282
TIC 318886387,86642,86980,43599,0.937,0.8479374235292404,0.0
TIC 393794445,92670,92932,48951,4.144,0.7579821595418323,0.0
TIC 120933455,14723,14724,14757,5.939,0.08309591978763206,8.738071484529181e-159
TIC 454980196,145505,145633,63872,1.636,0.595616186385604,0.0
TIC 327873544,16675,16678,16783,0.656,0.026911920867336715,1.7009305704298127e-180
TIC 25171265,17178,17181,17215,9.576,0.003542477113838295,4.399123482450438e-186
TIC 422692635,55194,55673,42553,5.969,0.823817828099861,4.77258387368e-313
TIC 360205899,223828,223889,77977,0.214,0.2734417243788349,0.0
TIC 258382306,45187,45197,30370,0.421,0.4120433792668839,0.0
TIC 405756510,83650,84515,46177,3.341,0.4465621036537249,0.0
TIC 245339150,85159,85266,46149,1.748,0.5411833250753542,0.0
