loc_rowid,toi,tid,tfopwg_disp,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,st_tmag,st_dist,st_teff,st_logg,st_rad
5590,870.01,219229644,PC,2458390.8007850,22.0379547,2.5061632,1208.1077142,2.3351040,10.7791000,53.8027000,3927.0000000,4.6966000,0.6111360
5591,871.01,219344917,PC,2458417.0510840,14.3627380,3.2043798,541.9770506,1.6866314,9.7607000,68.0473000,4939.0000000,4.5848900,0.7321890
5592,872.01,220459826,PC,2459385.9252130,2.2395609,0.9980000,1110.0000000,2.7183400,11.8348000,179.2540000,4872.5400000,4.6895100,0.7600000
5593,872.02,220459826,PC,2458415.2991110,4.9727601,0.6818970,1012.7477419,2.3994418,11.8348000,179.2540000,4872.5400000,4.6895100,0.7563600
5594,873.01,237920046,PC,2458326.2227120,5.9312051,2.0577033,916.3053141,1.6882354,12.1249000,76.9563000,3797.0000000,4.7400500,0.5204000
5595,874.01,232025086,PC,2458439.4876830,5.9049186,4.3926376,196.2808595,2.2915989,8.7542000,130.5270000,6437.0000000,4.2473000,1.4178801
5596,875.01,14165625,PC,2458442.0249460,11.0201530,3.6385350,1076.9267540,2.3432280,11.3877000,106.1200000,4407.0000000,4.5629300,0.7194660
5597,876.01,32497972,PC,2458457.3954500,29.4829022,2.3634407,2066.5043819,2.7733274,11.5340000,78.1864000,3955.0000000,4.6887400,0.6037390
5598,877.01,255704097,APC,2459174.8280590,6.0149430,1.5113690,4777.7735467,12.4147576,10.6237000,452.6820000,7836.0000000,4.1400000,1.5943500
5599,878.01,219380235,FA,2459196.6283980,3.9773904,2.8200000,1134.0000000,5.0387400,10.8239000,334.4570000,5518.3000000,3.9300000,1.7700000
5600,879.01,37084932,FP,2458470.6443100,6.5845400,3.3950000,5500.9400000,,9.5254000,602.7260000,8829.0000000,3.9100000,
5601,880.01,34077285,PC,2459224.8309780,6.3872524,2.6080000,3510.0000000,5.0445000,9.2563000,60.6679000,4935.0000000,4.5200000,0.8200000
5602,880.02,34077285,PC,2459202.2953330,2.5735943,2.4810064,739.6008283,2.7779229,9.2563000,60.6679000,4935.0000000,4.5200000,0.8169990
5603,880.03,34077285,PC,2459220.6596910,14.3318853,1.5960000,990.0000000,2.8702200,9.2563000,60.6679000,4935.0000000,4.5200000,0.8200000
5604,881.01,237808867,FP,2458468.8646700,0.5670800,1.2530000,980.0000000,29.9735000,9.7920000,994.7320000,5274.0000000,,9.7800000
5605,882.01,92013169,FP,2459547.6693910,2.3552598,1.1240000,910.0000000,10.6866000,9.7396500,387.9700000,7069.0000000,3.8800000,2.3700000
5606,883.01,123846039,PC,2459210.7429320,10.0588733,3.6798142,4704.7169156,7.1889009,9.3722000,102.6370000,5651.0000000,4.4300000,1.0147700
5607,884.01,167031605,FP,2458468.6974100,2.7809000,1.8030000,2990.0000000,56.3202000,9.9534000,1390.4600000,11246.0000000,,5.4500000
5608,885.01,25334160,APC,2458471.2002900,2.5687600,2.7670000,360.5210000,17.6099000,10.1775000,693.3940000,4312.9000000,,8.4300000
5609,886.01,120269103,FP,2459203.1083370,20.4276727,5.1878327,2988.5020776,19.9576585,8.2652200,364.9280000,8844.0000000,3.7600000,3.2579500
5610,887.01,437984134,APC,2458472.0775400,5.7711400,2.7910000,1931.8100000,10.9488000,8.1650700,192.6120000,7173.0000000,4.0300000,2.2600000
5611,888.01,438295981,FP,2458472.1583700,3.9664300,2.0250000,828.3710000,5.9998100,9.5262100,263.0220000,6565.2000000,4.0900000,1.9000000
5612,889.01,284288080,FP,2458469.9071900,1.8348500,2.6730000,1200.0000000,5.9032700,10.8457000,388.4770000,6466.0000000,4.1100000,1.6800000
5613,890.01,333607525,APC,2459204.3238050,3.2023726,3.9122709,40953.2186827,36.2875043,10.9360000,474.5650000,6600.0000000,4.1700000,1.6680600
5614,891.01,33690636,FP,2458468.9545000,4.9991500,5.2560000,684.2710000,2.2812200,11.0427000,123.9970000,4696.0000000,,0.7900000
5615,892.01,66561343,CP,2459219.5520740,10.6265837,5.4150000,7530.0000000,12.0335000,10.9739000,340.5430000,7723.0000000,4.4300000,1.3500000
