Gaia,RAdeg,DEdeg,Gmag,P,Age,E_Age,e_Age,distance_pc,table_origin
5205867500856670000,152.403,-73.4775,16.6,0.45,20.4,7.0,5.5,212.31422505307856,1
2286672272366140000,355.8895,82.0944,15.2,0.44,20.4,4.2,4.7,154.79876160990713,1
2286752021318980000,338.0374,80.4958,16.4,0.21,23.4,12.8,5.1,240.3846153846154,1
2226243658763820000,336.1287,69.4314,17.4,1.0,3.1,1.2,0.7,330.03300330033005,1
5827578997848510000,234.8105,-61.1322,16.7,0.7,19.4,5.1,4.8,181.8181818181818,1
2468160066827680000,18.2422,-13.2812,16.7,0.43,,,,232.55813953488374,1
2982396707337190000,80.2396,-16.5603,16.3,0.21,23.5,11.7,5.8,238.6634844868735,1
2982278097519430000,80.0038,-16.9224,16.7,0.17,25.0,11.4,4.9,277.0083102493075,1
5310890893055850000,136.776,-55.4982,17.9,0.22,28.1,8.4,5.5,308.641975308642,1
542979283208561000,50.389,70.5445,16.7,0.23,20.5,7.1,4.5,302.11480362537765,1
1717326494164830000,184.9944,78.2876,17.1,0.33,19.9,7.4,6.9,283.28611898017,1
5758725827316260000,138.6677,-4.9428,16.0,0.16,26.4,27.3,8.0,193.42359767891682,1
5191889821846840000,138.4638,-84.1934,16.1,0.14,26.3,11.2,8.7,221.23893805309737,1
3190520858177030000,61.1374,-11.2997,15.3,1.0,8.4,2.7,3.8,194.9317738791423,1
1717031309652630000,188.3398,77.4674,16.5,0.22,24.1,19.0,5.7,254.45292620865138,1
1998358917451990000,358.6341,57.8922,16.3,0.25,22.8,5.5,6.9,207.0393374741201,1
4323144927170110000,293.077,18.3823,17.4,0.36,31.0,7.1,4.0,195.69471624266143,1
1846416271738780000,314.7912,29.2609,13.6,0.37,22.8,15.4,4.7,78.80220646178093,1
6007810634598400000,236.2458,-41.4343,16.8,1.0,15.7,3.7,4.6,129.70168612191958,1
1846439189684610000,314.7227,29.5658,15.4,0.35,22.0,6.5,7.1,143.26647564469914,1
3190528692197360000,61.3818,-11.1732,16.4,0.17,40.6,19.5,10.8,115.87485515643104,1
