TIC_ID,TLC,EOM,Gaia_DR2_ID,RAdeg,DEdeg,plx,Gmag,bp-rp,Prob,Age,E_Age,e_Age
TIC_178108473,-1.0,-1.0,GDR2_236188502242012032,49.8443,39.9857,12.64,15.5,3.3,0.28,37.1,15.8,9.2
TIC_329457680,21.0,3.0,GDR2_5855710445174367488,191.9969,-68.7337,5.41,11.1,1.3,1.0,nan,nan,nan
TIC_329457630,22.0,27.0,GDR2_5855713370080738176,191.7307,-68.7251,9.74,14.0,2.8,1.0,11.1,2.9,4.3
TIC_328234948,22.0,27.0,GDR2_5855695468655866752,190.2162,-68.9496,9.87,11.4,2.0,1.0,3.4,0.9,0.2
TIC_168775888,-1.0,-1.0,GDR2_4269915786852587264,275.4314,-3.0251,3.23,16.0,2.7,0.41,13.0,2.8,2.9
TIC_168387113,-1.0,-1.0,GDR2_4269910525516534656,275.1422,-3.1649,3.45,13.1,1.9,1.0,nan,nan,nan
TIC_168585144,-1.0,-1.0,GDR2_4269912282159292032,275.3098,-3.0675,3.6,14.9,2.2,0.11,12.6,23.7,3.2
TIC_169590718,-1.0,-1.0,GDR2_4269956533204287744,275.8163,-2.5997,3.15,11.8,1.6,0.15,nan,nan,nan
TIC_336848482,-1.0,-1.0,GDR2_6748753790917509760,300.9878,-31.8695,6.27,16.2,3.1,0.37,25.6,9.4,6.0
TIC_336848287,-1.0,-1.0,GDR2_6748777632278996480,300.9397,-31.6419,3.4,11.3,1.5,0.21,nan,nan,nan
TIC_257579183,-1.0,-1.0,GDR2_4575548167896009216,258.667,29.1453,3.05,17.5,3.1,0.45,17.2,4.2,4.2
TIC_234444943,-1.0,-1.0,GDR2_3149583188417468672,113.7054,9.8318,6.9,14.3,2.5,0.2,19.7,9.1,3.7
TIC_370005656,-1.0,-1.0,GDR2_4724576077002831872,38.7744,-62.3993,5.03,8.2,0.0,0.3,nan,nan,nan
TIC_31419174,22.0,-1.0,GDR2_5957457739378400512,265.5366,-42.0834,8.37,16.0,3.3,0.57,22.9,4.3,4.1
TIC_238611903,-1.0,-1.0,GDR2_5516154561303824384,122.244,-48.2355,3.96,16.2,3.0,0.96,10.7,1.6,3.9
TIC_238611967,-1.0,-1.0,GDR2_5516157516241527296,122.2309,-48.2124,3.49,17.1,3.0,0.35,20.1,7.6,7.1
TIC_238664049,20.0,-1.0,GDR2_5516150575574107648,122.6792,-48.0844,5.51,16.7,3.1,0.17,31.9,22.6,9.9
TIC_238613201,9.0,-1.0,GDR2_5516157172643828096,122.4907,-48.0816,3.03,16.7,2.8,0.41,16.8,6.0,3.6
TIC_238664102,-1.0,-1.0,GDR2_5516162498403299840,122.5988,-48.0656,3.77,8.6,0.0,0.27,nan,nan,nan
TIC_238728151,-1.0,-1.0,GDR2_5516171535015497600,122.9995,-48.0429,3.2,17.2,3.1,0.32,19.7,5.4,4.9
TIC_81355374,-1.0,-1.0,GDR2_5516179128517540736,123.0553,-47.7908,3.04,16.4,2.8,0.67,12.4,3.9,2.8
TIC_384040742,10.0,-1.0,GDR2_1980991581544806144,327.2305,52.2389,3.49,16.5,2.9,0.43,16.4,6.9,4.1
TIC_245457456,-1.0,-1.0,GDR2_454060304703555328,38.7444,54.18,4.43,16.5,3.0,0.51,17.9,4.0,5.6
TIC_168656964,-1.0,-1.0,GDR2_4887005074348953984,60.8035,-30.9455,3.96,16.3,2.7,0.13,28.0,15.0,7.9
TIC_166869904,-1.0,-1.0,GDR2_4886831592030178944,59.1028,-31.1944,26.45,13.2,3.1,0.28,34.8,37.5,10.8
TIC_296790810,22.0,27.0,GDR2_5236296171620605824,176.607,-66.6931,9.31,13.8,3.0,1.0,2.6,0.9,0.5
TIC_448643895,-1.0,-1.0,GDR2_3479243467643979264,177.5395,-31.6498,3.68,16.7,3.1,0.83,13.4,2.6,3.6
TIC_19473205,-1.0,-1.0,GDR2_4159532997057160704,275.9488,-7.998,3.55,16.0,2.9,0.77,10.2,1.5,3.1
TIC_258026880,-1.0,-1.0,GDR2_1262387134217519872,224.3015,22.2462,5.62,15.0,2.7,0.28,18.7,7.6,2.3
TIC_20099738,-1.0,-1.0,GDR2_4159548218420914816,276.1026,-7.7281,3.07,13.1,2.6,1.0,nan,nan,nan
TIC_20097856,-1.0,-1.0,GDR2_4159535196080019840,276.0443,-7.9194,3.2,16.9,3.1,0.45,13.7,4.1,3.0
TIC_18605997,-1.0,-1.0,GDR2_4159554403173956224,275.7679,-7.7838,4.17,13.1,2.6,1.0,nan,nan,nan
TIC_20289845,-1.0,-1.0,GDR2_4159547874823882880,276.1681,-7.7197,3.42,15.5,2.7,0.77,8.6,4.0,2.4
TIC_61422467,-1.0,-1.0,GDR2_315978377440544768,24.4231,32.4366,5.38,16.6,3.2,0.46,23.1,8.7,4.0
TIC_18339691,-1.0,-1.0,GDR2_4159530282636557312,275.6499,-7.8636,6.51,15.4,2.8,0.15,23.9,13.7,7.7
TIC_18339775,-1.0,-1.0,GDR2_4159530759360835456,275.5899,-7.8546,3.04,14.6,2.4,1.0,3.0,0.6,0.3
TIC_19998119,-1.0,-1.0,GDR2_4159534092259918080,276.0883,-7.9561,3.7,13.5,2.1,1.0,2.7,1.2,0.6
TIC_17585713,-1.0,-1.0,GDR2_4159569620224831360,275.4141,-7.9543,3.56,15.0,2.4,0.16,12.6,41.0,3.3
TIC_123886046,26.0,4.0,GDR2_3099296508730815616,103.5054,-6.9245,3.55,8.3,-0.1,0.26,nan,nan,nan
TIC_123845275,26.0,4.0,GDR2_3099314440211728768,103.4337,-6.7899,3.56,13.4,1.7,0.77,nan,nan,nan
